date,weekly_vol_surprise_IC
2023-06-02,-0.1039
2023-06-09,0.1463
2023-06-16,-0.094
2023-06-23,-0.2486
2023-06-30,0.1934
2023-07-07,0.0422
2023-07-14,0.0392
2023-07-21,-0.0274
2023-07-28,-0.0747
2023-08-04,0.2064
2023-08-11,0.3302
2023-08-18,0.175
2023-08-25,0.2381
2023-09-01,-0.0114
2023-09-08,0.1068
2023-09-15,0.0261
2023-09-22,-0.012
2023-09-29,-0.1278
2023-10-06,0.0961
2023-10-13,0.373
2023-10-20,-0.0535
2023-10-27,0.0248
2023-11-03,-0.2026
2023-11-10,-0.0043
2023-11-17,-0.0488
2023-11-24,-0.336
2023-12-01,-0.1039
2023-12-08,-0.0784
2023-12-15,-0.1126
2023-12-22,-0.054
2023-12-29,-0.057
2024-01-05,-0.1886
2024-01-12,-0.1343
2024-01-19,0.1432
2024-01-26,-0.0775
2024-02-02,-0.2109
2024-02-09,-0.1456
2024-02-16,0.2124
2024-02-23,0.164
2024-03-01,-0.4557
2024-03-08,0.1358
2024-03-15,-0.1244
2024-03-22,0.0163
2024-03-29,-0.1146
2024-04-05,-0.1512
2024-04-12,0.1597
2024-04-19,-0.1218
2024-04-26,0.1388
2024-05-03,-0.1822
2024-05-10,-0.0957
2024-05-17,0.1212
2024-05-24,-0.2381
2024-05-31,0.3767
2024-06-07,0.0685
2024-06-14,-0.1043
2024-06-21,0.0158
2024-06-28,-0.2242
2024-07-05,-0.4591
2024-07-12,0.0362
2024-07-19,0.0298
2024-07-26,0.2627
2024-08-02,0.0782
2024-08-09,-0.0191
2024-08-16,0.1811
2024-08-23,-0.1473
2024-08-30,0.0411
2024-09-06,-0.2311
2024-09-13,0.2492
2024-09-20,-0.2591
2024-09-27,-0.2156
2024-10-04,-0.2734
2024-10-11,0.1456
2024-10-18,-0.2148
2024-10-25,0.0456
2024-11-01,-0.3863
2024-11-08,0.3456
2024-11-15,0.2105
2024-11-22,0.0013
2024-11-29,-0.0008
2024-12-06,0.131
2024-12-13,-0.3878
2024-12-20,0.1822
2024-12-27,-0.2056
2025-01-03,-0.3788
2025-01-10,-0.125
2025-01-17,0.0173
2025-01-24,0.0882
2025-01-31,-0.1124
2025-02-07,-0.3021
2025-02-14,0.1171
2025-02-21,0.1957
2025-02-28,-0.0268
2025-03-07,0.1463
2025-03-14,0.3386
2025-03-21,0.2452
2025-03-28,-0.2015
2025-04-04,-0.0015
2025-04-11,-0.137
2025-04-18,0.1687
2025-04-25,-0.0403
2025-05-02,-0.1051
2025-05-09,-0.0627
2025-05-16,0.2385
2025-05-23,-0.0283
2025-05-30,-0.0962
2025-06-06,-0.185
2025-06-13,0.0191
2025-06-20,-0.16
2025-06-27,0.0266
2025-07-04,-0.3109
2025-07-11,-0.2544
2025-07-18,-0.1169
2025-07-25,0.1021
2025-08-01,0.1021
2025-08-08,-0.0668
2025-08-15,-0.1332
2025-08-22,-0.2559
2025-08-29,-0.0334
2025-09-05,-0.0531
2025-09-12,0.3174
2025-09-19,0.0829
2025-09-26,0.269
2025-10-03,0.2495
2025-10-10,0.0617
2025-10-17,-0.0477
2025-10-24,0.1355
2025-10-31,-0.0501
2025-11-07,0.0634
2025-11-14,0.172
2025-11-21,-0.0572
2025-11-28,-0.1293
2025-12-05,0.1994
2025-12-12,-0.2377
2025-12-19,0.1456
2025-12-26,-0.237
2026-01-02,0.1585
2026-01-09,0.1672
2026-01-16,-0.1505
2026-01-23,-0.127
2026-01-30,-0.3182
2026-02-06,-0.0362
2026-02-13,0.1992
2026-02-20,0.2606
