ticker,ic,t_stat,p_val,n_obs,size_rank,vol_rank,avg_vol_20d
AAPL,0.0736,1.013,0.3113,691,0.9795918367346939,0.9795918367346939,0.23252803087432714
MSFT,-0.0169,-0.421,0.674,691,0.9693877551020408,0.9081632653061225,0.2207993032579283
NVDA,-0.0585,-2.165,0.0307,691,1.0,1.0,0.4553257624481763
AMZN,-0.0315,-0.843,0.3997,691,0.9591836734693877,0.9591836734693877,0.2996795958705556
META,-0.0066,0.024,0.9808,691,0.9489795918367347,0.8673469387755102,0.33372648253314985
GOOGL,-0.0089,-0.665,0.5064,691,0.9285714285714286,0.9285714285714286,0.2815074363833152
LLY,0.0745,1.461,0.1443,691,0.8877551020408163,0.40816326530612246,0.31922292711378747
JPM,0.0771,1.482,0.1388,691,0.8673469387755102,0.7653061224489796,0.21518680053407482
TSLA,0.0051,0.431,0.6668,691,0.9897959183673469,0.9897959183673469,0.5582953942943658
UNH,-0.0054,0.495,0.6208,691,0.8979591836734694,0.6224489795918368,0.3092112647845792
V,-0.0525,-1.443,0.1495,691,0.8571428571428571,0.6122448979591837,0.17854423887471743
XOM,-0.0007,-0.601,0.5479,691,0.8469387755102041,0.8571428571428571,0.2190538646441443
AVGO,0.0657,1.13,0.2588,691,0.9183673469387755,0.9183673469387755,0.44617747092238796
MA,-0.0042,0.398,0.691,691,0.7653061224489796,0.2857142857142857,0.17992714221954964
JNJ,0.0566,0.115,0.9088,691,0.7857142857142857,0.7448979591836735,0.1623556339320563
PG,0.0402,0.774,0.4392,691,0.7142857142857143,0.6836734693877551,0.15898817826797987
COST,0.0434,0.776,0.4381,691,0.826530612244898,0.24489795918367346,0.18754138317861085
HD,0.0004,-0.188,0.8511,691,0.7448979591836735,0.4489795918367347,0.20656446443901696
MRK,0.0327,0.662,0.5081,691,0.673469387755102,0.7959183673469388,0.22623319249250348
ABBV,0.0199,1.187,0.2356,691,0.6530612244897959,0.5510204081632653,0.22118002118669708
CVX,0.0304,0.568,0.5699,691,0.7551020408163265,0.7142857142857143,0.2126905988895042
KO,-0.0009,-0.313,0.7543,691,0.5816326530612245,0.8367346938775511,0.1415800256561605
WMT,0.0048,-0.873,0.383,691,0.7959183673469388,0.8877551020408163,0.1860299541394812
