ticker,low_vol_ic,high_vol_ic
AAPL,0.103,0.0544
MSFT,-0.0516,0.0285
NVDA,-0.0124,-0.1121
AMZN,-0.0657,0.0229
META,-0.0837,0.0033
GOOGL,-0.0244,-0.0154
LLY,0.0756,0.0682
JPM,0.0351,0.1096
TSLA,0.0502,-0.0309
UNH,-0.0182,0.0072
V,-0.0707,-0.0738
XOM,-0.0046,-0.0193
AVGO,0.0046,0.078
MA,-0.0457,-0.0061
JNJ,0.0549,0.0217
PG,0.0301,0.0315
COST,0.0623,0.0163
HD,0.0353,-0.048
MRK,0.0327,0.0413
ABBV,-0.0181,0.0612
CVX,-0.0035,0.0289
KO,0.0766,-0.0199
WMT,0.0195,-0.0045
PEP,0.0125,0.0081
ADBE,0.0057,0.0114
CRM,0.0647,-0.0396
AMD,-0.0015,0.0358
NFLX,0.0018,0.0383
BAC,0.0983,0.1115
TMO,-0.0378,0.0565
ACN,-0.0323,-0.0309
MCD,0.0131,-0.0249
CSCO,0.0651,0.0001
ABT,-0.0427,0.0311
WFC,0.1335,-0.0076
LIN,-0.0061,-0.0106
DHR,-0.0238,-0.0555
TXN,-0.0953,-0.1354
NEE,-0.0221,-0.0472
PM,0.0659,0.0355
ORCL,-0.0646,0.0376
DIS,0.0124,-0.1173
QCOM,-0.0178,-0.1281
RTX,-0.0925,0.012
AMGN,0.0172,0.0097
BMY,0.077,-0.0035
HON,-0.0394,0.0173
UNP,0.0506,-0.0598
IBM,0.0401,-0.0051
COP,0.0974,-0.0217
SPGI,0.0152,0.0333
CAT,0.1061,-0.014
INTU,-0.0346,-0.01
GE,-0.0621,0.0285
LOW,0.0234,-0.1215
MS,0.0739,0.023
GS,0.0735,0.0603
AXP,-0.0271,0.0182
SBUX,0.0174,-0.0118
AMAT,0.0329,-0.1353
ADI,-0.0486,-0.0732
GILD,-0.0034,-0.0917
MDLZ,-0.0596,0.0598
REGN,0.1586,-0.0167
C,0.1088,0.0164
MMC,0.0072,-0.0928
TJX,0.1131,-0.0712
CI,0.039,-0.0395
DE,-0.0496,-0.0034
BLK,0.0179,0.0015
ISRG,-0.0695,0.0864
SYK,-0.0634,-0.0438
VRTX,-0.044,0.0266
ZTS,-0.0118,0.0515
CB,0.102,-0.0474
MO,0.1614,0.0014
SO,0.0025,-0.0397
EOG,0.0779,0.0127
BSX,-0.0726,-0.0069
NOC,-0.0437,-0.0353
PGR,-0.0585,-0.0326
USB,-0.0031,-0.0289
ITW,-0.0493,-0.0217
CME,0.0429,-0.0533
DUK,-0.0513,0.0981
APD,0.1306,-0.0218
MCO,0.0659,0.0543
FDX,0.0425,-0.041
TGT,-0.0062,-0.0811
HUM,0.0316,0.0458
CL,-0.0612,-0.0548
EQIX,-0.0704,0.0686
AON,0.0726,-0.0721
NSC,-0.0885,-0.034
EMR,0.1329,-0.0616
ETN,-0.0364,-0.0447
MMM,0.1037,-0.0193
PLD,-0.0774,-0.012
